Sentence,noisy_sentence
Tom said that he wasn't having any fun.,d on sa idthath edidntmint  d oimk th atadalr
"""Whose pencils are these?"" ""They are Walt Disney's.""",ze d heyar e wartdisme ys  wirr iam hantetsandra hermi s
Ivan's shadow came from behind the truck.,ed mund o sdruck stopbedond hesiteovd h el oat
Tom and I've both been very busy.,do man dih avepl  ogenup
Mordred betrayed King Arthur.,mortletb etr ayedki ngarthur
The dentist said Tom needs braces.,dhedentisd zaid d onn  eetsbraces  to
Mary goes to spin class every day after work.,mal yg oes tozpincl  azsevelyd a yafte  rwork
It looks like I was right about Tom not showing up for the meeting.,itlooksl ik ei  wa zrightab oud t omnots ho win  k upf orthemeeting
I want to study abroad next year.,dion i w anttos tu  dyaploatnext yeal
The Yamadas live in a flat below this one.,oom dh eyan atazliv eima vl a dbelowt his ome
I've a lot of backlog of work.,aro tof bac g r okovwork
I haven't seen Tom for three months.,ife never seemtomh itan y one ihave n dz e entonf ort
Tom can't come to Australia this spring.,to mcantcom e to austral iathis sbli mk
Do you really think it's possible?,ale youzu re itsnotp oss ible
I'm starting to think it's just an excuse.,eamizunt e rst amding i mstar d imgtod hinkitsju  sdan
Tell me about some of the places you've visited.,whatsdhep e stpl aceyo u veevel visited
Can you draw the chemical structure of phenol?,d rawdhec hemicarsdru cture o fbhenol  didyo u
Sami returned to the main room.,s am i wentp acgto his dormloom
So it seems to me.,so i tse ensto me
Amsterdam is famous for its canals.,amzter dani  sfamou sfor itzcan ars
Don't be all grumpy.,do mtb eap ussy dom tb earl 
Both Tom and I should've left early.,bothtoman d ishou  rtver evtear ry
Mary won't tell us what she knows.,marywo nd tel rus wh a dshe kmows
He has a good head on his shoulders., ago othead on h izsho uldels  heskood atvoo dpa rr
They played with their dog.,dheyplay e dwithdhei l dog
Most of the technology Russia wants is in Germany.,nosdoft h ete chn o logy lussiawants i singernany
His private life doesn't interest me.,dom do e sndw a mtdota  lkabouthis brivatelife
I resent the way he treated me.,if ou ndthew aymo ddoof fen th in
"""When will Tom be back?"" ""I don't know, but probably tomorrow afternoon.""",whenwilrtonb eb a cki  ton tkmowbutpro bapr  y tom or rowavd ernoon
Tom got a credit card.,domrib pe du bthe cheque
William inspired Sandra to write some of her best songs.,hebraye d a dunevorthegilrd ha thet wlitt en  hi mself
Mennad is gonna take the test.,is go n ma taked hetezt  men madwa szoclush et
Tom has to tell Mary not to do that.,tom ha stot ell malyno d totod h at
I'm not completely sure.,inno ts osu leof th ad
I've been lucky so far.,iwashabpyy esteld  ay
Tom pretended not to hear Mary and John whispering.,toman tma ry zaidthen oi z edidm dbodhe lthem
The president's car arrived at the headquarters of the national intelligence service.,th epresi de ntscaralli vetatthehe adquar terzofth enatio m ali m terligemcezervice
Antonio entered the trailer.,an to nioemteldainedhinzerf
Has he any children?,ha sh  e anychildren
I don't think that it really matters who does this as long as it gets done.,idontt hink dhat itrealr y matd e rzwh odoe st  hisasl onga zi dgetstone
This is a street.,it sloadkirr thisi sa s 
Are you in on this?,ui mon t his  yo uwereher e
Which hotel do you usually stay at when you're in Boston?,whi chhotel d oy ou u zuallyztay adwheny  o  ulein bozdon
Ziri walked right past Rima's tent.,ziliwalg ed rig  htpastrima sdent
"You will notify Tom, won't you?",yout b ettern od telrtom that
I hope that that helped.,lb ed
I ran for the bus and was already breathless.,or dhe buzan twazarrea tybr  eat hlesz  ilanin to avl i endo fmine
Were you the one who told Tom what happened?,weleyout heo  new  hotold  domwhat happene d
He could see everything on his skin.,hec oul ts eeevery th ingonhiz skim
Tom lives in Australia with his mother.,t onandma ly  useddo lifei na ustralia
We really need her number.,werearly n eet todo tha t
Tom must warn Mary.,t o n
What are Tom and Mary doing tomorrow night?,wh ad ar etomand narydoin ktomorrow n ight
Let somebody else do it.,set oit
All of the words in this dictionary are important.,arlof dhewo ldsim th iz d icti onaryarein pordant
I think that Tom said his last name is Jackson.,tom jac gsonwas apboimdedchai rberzon
"We love each other, but she lives in Germany and I live in the United States.",veher welo veeac hoth e  rputz h erives ing ermanyan dil iveint h
I agree with everything you said.,you are rig h dafterarl
How many lifeboats are on this ship?,h ow mamyrivepoa dzar eo ndhiz s hip
We're really bad dancers.,inleall yinzecur e
"If ""trans ideology"" were all it was claimed to be, it would be embraced by the right-wing authoritarians who rail against it.",ivt ramsi d eo logy werea rlitwazclaime dtop ei dwo ul dpeempra cedbyth e  rikhtwing autho rita  riansw horailaga in  sdid
I don't really like doing this kind of thing.,ido n tlea llyliket oimgdh iskim tovt hi nk
My wife has two sisters.,iha vem oletr eszesthamm   ysister
I heard that Tom was traveling with you in Australia.,i do u btto mw irl   wamdtogodoausdlali aw ithyou
She didn't do what she wanted to do.,z he di dnddow hatshe zays shed it
"Things can't get any worse, I think.",icoultntthin k ofanyth imgw orse thi ngzc an tg etany w
It is a very great honor to speak with you.,gre adh on o r dospeakwit hyou
I didn't think Tom would still be jealous.,idhin kd hat  t omwo ultbeumfaze db ythat
Is he implicated?,hei mpricatet
I denied it.,ideni edi d
There is a lot of food and bottles of wine on the table.,th ere  izarot o  ffoo ta mdbottre  so fw ineonthedable  idra
She's the only person I've ever really trusted.,heo nlypel zonivee felrealryt   rusted
We notified Tom.,we noti vi  edtom
I run three kilometers every morning.,ed hree thing zyouhafet odoeferyday
I know that that's not the truth.,ik nowthatt hadz  mo tth etrudh
I contacted my parents.,iconda cdedmypal en dz
He will move out of his parents' house.,hewirlnove ou tofhi zpa  rent shou ze
Mary is sleeping in her bedroom.,underherped nary iss leepinkinh er b
Ziri silently enjoyed the view.,ziriloo gedrer iefet
I'm going to buy Tom a present.,t i ngoimg do buydo 
There's a letter in the mailbox for you.,ther e sale t te rinthenairp ox  vory ou
I have no intention of discussing this further.,it snodsonet himg iwa ntto discus s
I am not a libertarian.,i mm otavano vcen tr ism
I know I'm crazy.,i k nowho wife el
Tom still isn't used to the way things work here.,do ndoesm twork helea nylo mger
Tom branded the calf.,tomiz bl asteret tomp ran dedthec
Do you know how that could've happened?,ygmow nth atwou rdhabpem
Did Tom offer any resistance?,hazdombee ntransf erre t
She is fond of display.,shesq uitego rkeous
"All of your accusations are baseless. She is innocent, and we will prove that.",eisakai nstyou arlofyouraccu sati ons alebaz erezs  zhe i sinno centan  tw ewirrbrove that
Your father is pretty tall.,y ou reastallazyo urvat  hel
Tom seemed to be having fun dancing with Mary.,tom perzuade t n aryto ko do dhedan c ewithhim
Sami was imitating when he heard.,z amiw az imidatink whemhehea rd
I'll permit you to go.,i rl go ifyo uko ill pe lmi tyou
They changed their clothes.,geddhei lc lothes  myc lothe sar egome
"And when the Madianite merchants passed by, they drew him out of the pit, and sold him to the Ismaelites, for twenty pieces of silver: and they led him into Egypt.",andwhenth en ad ia mideme lchamts pa s setbydhe ydr ew h inoutovthe pi damdsord  himd othe i  zm aelitesfor twe  ndypi eces ov sirvela ndtheyredhim imtoegyp t
Ziri was wearing a regular white shirt.,ziliwasweal ingarek u rarw  hitez
They paid me a lot of money for the motorcycle.,ial mostgivded himmy motorbige d he ypaid n e al otovmon e yfort
It was my choice.,asm yc hoice  it
I know Tom is the one who's supposed to tell Mary that she shouldn't do that.,iknow t o nizdhe one whoz suppo s etdo d erlnaryth  adshesho urtm  t do that
"I've forgotten almost all my French, but you can speak German.",i v eforkot tenalm os talrmyv rench bu tyoucansp eak  german
Leon needs to make more money.,reon w azpisse da boutit
Tom got mixed up in something bad.,shappened tongo tnixed upinso net
I wear designer clothes myself.,iwealdesi g
It will not be long before the new term begins.,i twi  rlnotbe lonk peforethem ewder mb egi nz
You'd better not do that again.,ud bette rmotdothat aka in  mef ere feldodhis ag ain
Are you drunk again?,eyoudru nga gain   a leyourad tled
One-fifth of the Earth's surface is covered by permafrost.,cef loa dedby on efi ft h oft heealthzsurfaceiscove l edby
The ring was a gift Antonio’s father left him.,the rin kwas agivtantoni  o’sfatherr evt h in
Why are you so pale today?,w
"As more and more houses were built around the lake, the lake became more and more polluted.",as moreantno re ho uzezwerep uir t al o u ndtheraket her ake pecanemorea mdnorebo  lluded
That is no business of yours.,t hisis nopl a ce foryo utope 
Karl was holding a newborn baby.,a s hol  tinkanewp ornbaby
Tom got home very late.,t
"I get caught in the rain, I'm late for my date, and I lose my pocketbook. It's just one thing after another today.",he laini  mlateformyt ate andilose  mypo cke tbook it s jusd o m edhimgafd eranodh ertoday  idbeimkr ai my ico u ldnot g
Tom is the only one who's sleeping.,tom isth eom lyonew ho s zleeping
This news is important to us.,id samat teloft  heud m ostimbortance
He's not coming.,hezn otcon ing  he
Who'll believe us?,who rl b eliefeuz
"A trombonist by trade, Harry sometimes doubles on the euphonium.",atrom bonis  tpytr ate harlysometim esdoub rezon  dhe eubhonium
He is a rascal.,he is alasc  ar
Have you ever felt depressed for most of the day for 14 consecutive days?, lfeltd eple zs edfor nosto ftheday vor1 4co mz ec utiveday s  doyo uovten d akeavdel
Sami still doesn't know what to call his puppy.,sa midoezn da nswernunbersh edoez m tkmow
Mary has been told she can't do that.,t
Ziri will be in detention tomorrow.,w illp eind etem tionto morrow
I want you brought to justice.,ntyoubrou ght toju  stice  i mhe letofi khtvorjuzt ice
Sami wasn't smiling.,s ani wasnot coming
Both Tom and Mary have blue eyes.,potht o mandmar yw eredir et
I'm pretty sure Tom doesn't do that anymore.,inbredd  y zure tontoesn tt oth adanymo re
He said that he feels fine.,i dt  hathefe elzfi ne  z heza idzhew aztoimkfi ne
We give this town to the Serb Nation.,et he cidy wegif et hiz towm do  thezelbn
"""Conelgo"" is not a word in Spanish.",m ar coi zspamiz hheisv rom s baim
Carlos is an employee who is highly respected by his superiors.,nyco rle aguecalrozizac lear conmun icatolwho a voitsmizu ndelsdam timgs
Tom and Mary say that they'd rather not go.,dom antmar ysai t thatth ey ha  ttoreave
Tell me you'll try to do that.,il rtelr yo uhow  tod oit
She said she did that.,sh esai dshe
We must be able to differentiate between objects and situations.,d iffelen ti atepetweenobjecdza m tzituadions  y o ushoulddisting uishb edweenlig
He told me he'd do that for us.,he t o rtn e hedd oth ad forus
Both Tom and Mary were tired.,t omamdmalya re  jusdr azy
Lie still and rest.,take a b reakitsv ime
My method displayed a different spirit.,ny net hoddisprayed adiff el emdsbirit
All your cats are grey.,cad sarepersisde nt arly ourcatsar e 
Tom is quite successful.,ton isquidezucces z   fur
Sami wants to do this outside.,samiwam dsdoimpre z sra yra
"Radford said that at first, clown shows were meant for adults, not children. In fact, clown characters were meant to be a critique of society or projections of the fears and concerns of everyday people.",toth echi ldren radfoldz ai dtha da tfir  stclo wmshowz  w ereneandforadul tsmodc hildlen infac t cro wmchalacterswerene   and t  obeacritiqueofzociety  olbl   o jectio nsofth e fearsamdco nce rn 
We consider Tom to be honest.,to mizc ompl edelyreazomable
He was a much better general than politician.,he is anemelkedicp olitic ian h e wasa nuchpedte  lkemelalthanp
Mary took Tom's car keys.,malydoo gtom s calkey s
Bela Lugosi acted in several films.,l ay law  asadrana qu eeninhigh school
I either don't dream or don't remember my dreams.,rea n oltom tremen belmydre amz  i ho p e dhi sd reamismo danighdmare
Yanni now lives in Algeria.,yanmin owli vesinal kel ia  ya n
Ziri was there for a week.,
Both Tom and Mary took risks.,b o th to mantnarydo okrisk z
Please ask at reception.,plea secalln epack 
"When the trusted confidant of the person who conducted a hostile takeover of the company betrayed him, it was a sort of retributive justice.",ho utthetri alth ath ewasim n ocemt wh endhetruz ted comfidamto fdheber so m whocondu   c dedaho zdi l etageovelo v theconpamybe trayethi m itwa saz or tofredribu tivejustice
Shouldn't we turn off the heaters?, w e turnofftheheaters  to we h av et og etridovth at
They said they were unimpressed.,th eys aitdheywer euninp res set
What's this sound?,whatst hi sso  und
Tom is probably busy now.,donzra ther bu sy juzdnow
Mary was a nerd in high school.,maryattendz amallg ir ls’s choor
Many flowers are blooming in the garden.,man y flo wers arebr oonin ginthegarde
What kind of website do you want to create?,wh  adgi ntofwe bzited  oyouwam ttoc leat e
"As there was a fly in my coffee, I didn't have to pay the bill.",asd he re was aflyimm y c ofvee it itntha  vetop a ythebil l  i dondl ikeny co
Tom realizes he's made a mistake., lize sheznateam i sda ke
"When Mike returned to Jane's house, she was sleeping.",yannin ev e lzl ebdinthathou se whe mmiker e dul nedt  ojanezhousez  hewazslee
Stars can be seen at night in this area., rzc ampez ee nat n ightint hizalea  th en oo
Mary said the beach was nicer than she expected it to be.,m ar ytoltm etha dzhewasv ine mar yz ait th epeachwa sn icertham z he
She was winning.,s hehope  dshecoul twin
"My mother was very sick, but thank God, she's much better now.",dayhermoth er paszet a wayimthe hozbital n ymot her wasvelysicg b u tth ankkots hez mu
Ziri's YouTube channel didn't have content.,ziris yo udubecha nmelt idn thafeconte nt
